ScientificName,Latitude,Longitude,YearCollected,MonthCollected,DayCollected
Oreochromis niloticus,,,2009,12,22
Oreochromis niloticus,30.512393,-88.551052,2000,12,14
Oreochromis niloticus,32.65583,-85.49194,1981,11,4
Oreochromis niloticus,30.376073,-88.752399,2001,3,8
Oreochromis niloticus,30.512393,-88.551052,2001,4,18
Oreochromis niloticus,30.512393,-88.551052,2001,5,23
Oreochromis niloticus,30.507333,-88.554381,2001,5,23
Oreochromis niloticus,30.376073,-88.752399,2001,5,24
Oreochromis niloticus,30.376073,-88.752399,2001,5,24
Oreochromis niloticus,30.376814,-88.747528,2001,5,24
Oreochromis niloticus,30.512393,-88.551052,2000,12,14
Oreochromis niloticus,30.512393,-88.551052,2001,1,24
Oreochromis niloticus,30.507333,-88.554381,2001,1,24
Oreochromis niloticus,30.512393,-88.551052,2001,3,7
Oreochromis niloticus,30.507333,-88.554381,2001,3,7
Oreochromis niloticus,30.512393,-88.551052,2001,4,18
Oreochromis niloticus,30.512393,-88.551052,2001,5,2
Oreochromis niloticus,30.512393,-88.551052,2001,6,27
Oreochromis niloticus,30.507333,-88.554381,2001,6,27
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,1979,8,28
Oreochromis niloticus,,,1979,8,28
Oreochromis niloticus,,,1979,8,28
Oreochromis niloticus,,,1979,8,28
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,2000,5,19
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,2007,3,9
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,2006,12,21
Oreochromis niloticus,,,2006,12,21
Oreochromis niloticus,18.6333332,-95.7166672,1985,10,2
Oreochromis niloticus,30.376073,-88.752399,2001,6,28
Oreochromis niloticus,30.376814,-88.747528,2001,6,28
Oreochromis niloticus,30.512393,-88.551052,2001,9,26
Oreochromis niloticus,30.512393,-88.551052,2001,8,1
Oreochromis niloticus,30.507333,-88.554381,2001,8,1
Oreochromis niloticus,30.512393,-88.551052,2001,8,29
Oreochromis niloticus,30.507333,-88.554381,2001,8,29
Oreochromis niloticus,30.376073,-88.752399,2001,8,30
Oreochromis niloticus,30.376814,-88.747528,2001,8,30
Oreochromis niloticus,30.507333,-88.554381,2001,9,26
Oreochromis niloticus,30.376082,-88.746777,2001,9,
Oreochromis niloticus,30.373768,-88.756562,2001,9,
Oreochromis niloticus,30.376073,-88.752399,2001,9,27
Oreochromis niloticus,30.376073,-88.752399,2001,9,27
Oreochromis niloticus,30.376073,-88.752399,2001,9,27
Oreochromis niloticus,30.376814,-88.747528,2001,9,27
Oreochromis niloticus,30.512315,-88.571409,2001,9,
Oreochromis niloticus,30.510725,-88.570637,2001,9,
Oreochromis niloticus,30.511501,-88.570937,2001,9,
Oreochromis niloticus,30.375758,-88.747421,2001,9,
Oreochromis niloticus,30.512393,-88.551052,2001,4,18
Oreochromis niloticus,30.512393,-88.551052,2001,4,18
Oreochromis niloticus,30.512393,-88.551052,2001,1,24
Oreochromis niloticus,30.512393,-88.551052,2001,10,24
Oreochromis niloticus,30.507333,-88.554381,2001,10,24
Oreochromis niloticus,30.376814,-88.747528,2001,10,
Oreochromis niloticus,30.376073,-88.752399,2001,10,25
Oreochromis niloticus,30.514826,-88.574484,2001,10,
Oreochromis niloticus,30.512393,-88.551052,2001,11,28
Oreochromis niloticus,30.507333,-88.554381,2001,11,28
Oreochromis niloticus,30.376073,-88.752399,2001,11,29
Oreochromis niloticus,30.512393,-88.551052,2001,12,18
Oreochromis niloticus,30.507333,-88.554381,2001,12,18
Oreochromis niloticus,30.512393,-88.551052,2002,1,30
